PGD ID	PGD Type	Meteorite	Technique	12C/13C	14N/15N	d(29Si/28Si)	d(30Si/28Si)
SiC-1992-VIR-000003	M	Murchison	WU 3f	48.56	2015	44.2	52.3
SiC-1992-VIR-000004	M	Murchison	WU 3f	48.82	716	43.4	47.0
SiC-1992-VIR-000005	M	Murchison	WU 3f	57.37		75.9	53.9
SiC-1992-VIR-000006	M	Murchison	WU 3f	94.05		78.6	71.5
SiC-1992-VIR-000007	M	Murchison	WU 3f	48.38	353	42.8	52.9
SiC-1992-VIR-000008	AB	Murchison	WU 3f	3.02	101	-15.9	-9.7
SiC-1992-VIR-000009	M	Murchison	WU 3f	94.15	907	-5.9	24.7
SiC-1992-VIR-000012	M	Murchison	WU 3f	48.64	716	35.9	43.1
SiC-1992-VIR-000013	M	Murchison	WU 3f	48.98	883	40.7	32.5
SiC-1992-VIR-000014	M	Murchison	WU 3f & ANU SHRIMP	49.86	549	64.5	75.2
SiC-1992-VIR-000015	M	Murchison	WU 3f	47.86	388	47.3	55.7
SiC-1992-VIR-000016	M	Murchison	WU 3f	47.68	961	48.1	63.1
SiC-1992-VIR-000017	M	Murchison	WU 3f	80.51	453	45.2	40.3
SiC-1992-VIR-000019	M	Murchison	WU 3f & ANU SHRIMP	52.80	680	94.7	77.0
SiC-1992-VIR-000020	M	Murchison	WU 3f	48.85	935	38.6	45.0
SiC-1992-VIR-000021	M	Murchison	WU 3f	52.65	419	95.1	83.1
SiC-1992-VIR-000022	M	Murchison	WU 3f	48.90	356	37.8	44.9
SiC-1992-VIR-000023	M	Murchison	WU 3f	48.59	1088	42.9	50.8
SiC-1992-VIR-000024	M	Murchison	WU 3f	91.93		4.0	5.0
SiC-1992-VIR-000036	M	Murchison	WU 3f	51.94	737	31.1	39.1
SiC-1992-VIR-000037	M	Murchison	WU 3f & ANU SHRIMP	50.25		34.4	40.0
SiC-1992-VIR-000038	M	Murchison	WU 3f	49.50	610	34.8	38.2
SiC-1992-VIR-000039	M	Murchison	WU 3f	49.01	467	42.4	44.5
SiC-1992-VIR-000040	M	Murchison	WU 3f	48.43		40.5	50.8
SiC-1992-VIR-000041	AB	Murchison	WU 3f & ANU SHRIMP	4.50	1689	101.7	63.8
SiC-1992-VIR-000042	M	Murchison	WU 3f & ANU SHRIMP	63.35	1088	55.3	47.8
SiC-1992-VIR-000043	M	Murchison	WU 3f & ANU SHRIMP	48.72	1314	39.5	43.0
SiC-1992-VIR-000044	M	Murchison	WU 3f & ANU SHRIMP	54.57	1889	86.4	73.2
SiC-1992-VIR-000045	M	Murchison	WU 3f & ANU SHRIMP	52.12	2345	90.1	73.1
SiC-1992-VIR-000046	M	Murchison	WU 3f & ANU SHRIMP	49.31	408	37.9	41.1
SiC-1992-VIR-000047	M	Murchison	WU 3f	99.72		-19.4	-19.1
SiC-1992-VIR-000048	M	Murchison	WU 3f	20.09	500	27.8	29.8
SiC-1992-VIR-000049	M	Murchison	WU 3f	48.98	374	42.0	39.1
